1: 1.000000
2: 1.000000
3: 2.500000
4: 7.000000
5: 21.000000
6: 66.000000
7: 214.500000
8: 715.000000
9: 2431.000000
10: 8398.000000
11: 29393.000000
12: 104006.000000
13: 371450.000000
14: 1337220.000000
15: 4847422.500000
16: 17678835.000000
17: 64822395.000000
18: 238819350.000000
19: 883631595.000000
20: 3282060210.000000
21: 12233133510.000000
22: 45741281820.000000
23: 171529806825.000000
24: 644952073662.000000
25: 2430973200726.000000
26: 9183676536076.000000
27: 34766775458002.000000
28: 131873975875180.000000
29: 501121108325684.000000
30: 1907493251046152.000000
31: 7272318019613454.500000
32: 27767032438524099.000000
33: 106168065206121555.000000
34: 406472021074865382.000000
35: 1558142747453650631.000000
36: 5979899192930226746.000000
37: 22975402162310871182.000000
38: 88366931393503350696.000000
39: 340212685864987900192.000000
40: 1311063521138246054400.000000
41: 5056959295818949067264.000000
42: 19522214955952221980672.000000
43: 75426739602542675832832.000000
44: 291650059796498346557440.000000
45: 1128558927038624036749312.000000
46: 4370164355766586695483392.000000
47: 16934386878595523445522432.000000
48: 65663949121084682747772928.000000
49: 254776122589808569060687872.000000
50: 989130828878080326919782400.000000
